OSS,,Unnamed: 0,Unnamed: 0.1.1,URL,average_rating,description,last_update,num_ratings,weekly_downloads,Category,last_update_days_ago,last_update_hours_ago,last_update_date,date_registered,days_since_release
Dragon UnPACKer,121,121,121,/projects/dragonunpacker/?source=directory,4.3,"Dragon UnPACKer is a game archive (Quake PAK, etc..) unpacking tool. It is plugin based making easier to add new archive file formats. It has convert ability and raw search function for known material (audio, video and pictures).",1/21/16,11,930,Audio and Video,265,6360,1/21/16,5/7/04,4541
Torrent Episode Downloader,122,122,122,/projects/ted/?source=directory,4.8,Meet ted! Your new way of downloading tv shows from the web. Add your favourite tv shows to ted and ted will automatically download torrents of new episodes! Ted checks feeds from the major torrent sites for new episodes of tv shows.,4/24/13,35,587,Audio and Video,1267,30408,4/24/13,3/21/06,3858
GrandOrgue,123,123,123,/projects/ourorgan/?source=directory,4.8,Virtual Pipe Organ Software ,2 days ago,33,621,Audio and Video,2,47,10/10/16,6/5/09,2686
Skype Audio Player,124,124,124,/projects/skypeplayer/?source=directory,4.1,"Skype Audio Player allows playing audio files (mp3, wav, wma) during Skype calls to both parties. It is a simple tool without luxurious functions, useful for those who study foreign languages using Skype and need to play sample dialogs or audio tests.",4/23/13,15,872,Audio and Video,1268,30432,4/23/13,3/25/09,2758
QGifer,125,125,125,/projects/qgifer/?source=directory,3.8,A video-based animated GIF creator,9/9/15,11,888,Audio and Video,399,9576,9/9/15,4/13/13,1278
ffmpeg-php extension,126,126,126,/projects/ffmpeg-php/?source=directory,5,ffmpeg-php is a PHP extension that adds functions for accessing and retrieving information from movies and audio files. ffmpeg-php provides access to the many audio and video formats supported by ffmpeg.,4/25/13,9,651,Audio and Video,1266,30384,4/25/13,10/22/04,4373
HomePlayer,127,127,127,/projects/homeplayer/?source=directory,4.8,"HomePlayer is an extention of the FreePlayer software provided by the french internet provider Free (www.free.fr). It adds a lot of fonctionnality like harddisk browsing, meteo, tv program, etc. You can find more information on HomePlayer on it's web si",4/22/13,18,623,Audio and Video,1269,30456,4/22/13,9/18/05,4042
AHD Subtitles Maker Professional,128,128,128,/projects/ahdsubtitles/?source=directory,4.1,A program that create and edit subtitles with no scripts !,6/12/16,10,879,Audio and Video,122,2928,6/12/16,5/15/11,1977
MP4Cam2AVI Easy Converter,129,129,129,/projects/mp4cam2avi/?source=directory,4.5,"MP4Cam2AVI is a MP4/MOV/M2TS to AVI repackaging tool for digital photo-video cameras, it makes their clips editable in VirtualDub, MovieMaker and other AVI editors. Also it can combine (join) multiple clips from camera into a single AVI movie, preserving audio/video sync.",4/30/13,34,622,Audio and Video,1261,30264,4/30/13,11/1/04,4363
Muses Radio Player,130,130,130,/projects/ffmp3/?source=directory,5,Live MP3/OGG/AAC Flash Player for Icecast and Shoutcast. It has some interesting and necessary features like reconnect on network errors to make sure users never get silence and cache management to avoid memory memory consumption. Works with Flash 10.1 and newer.,11/26/14,17,524,Audio and Video,686,16464,11/26/14,7/28/09,2633
reacTIVision,131,131,131,/projects/reactivision/?source=directory,5,"reacTIVision is a computer vision framework for the fast and robust tracking of markers attached on physical objects, and the creation of multi-touch surfaces. It was designed for the rapid development of table-based tangible user interfaces.",5/18/16,22,507,Audio and Video,147,3528,5/18/16,11/29/05,3970
DVD-Audio Decoder and Watermark Detector,132,132,132,/projects/dvdadecoder/?source=directory,4.4,"DVD-Audio Decoder input plugin and Watermark Detector/Neutralizer DSP plugins for foobar2000. Decoder is capable of playing back DVD-Audio discs, ISO images, AOB, MLP and Dolby TrueHD files in full resolution. Dedicated plugin for DTS-HD playback. APT-x100 plugin for *.AUD and *.AUE files from DTS Movie/Trailer Discs.",5/10/16,19,676,Audio and Video,155,3720,5/10/16,7/3/09,2658
Thumbnail me,133,133,133,/projects/thumbnailme/?source=directory,4.5,Thumbnail me is a free and open source thumbnails generator built on movie thumbnailer. Thumbnail me is coded in C++ and uses the Qt 4.8.0 library. This software is actually available on Windows Xp / 2k3 / 2k8 / Vista / 7 x86/x64 and Linux x86/x64.,2/9/15,30,610,Audio and Video,611,14664,2/9/15,4/13/09,2739
Kiss FFT,134,134,134,/projects/kissfft/?source=directory,5,"A Fast Fourier Transform based up on the principle, ""Keep It Simple, Stupid."" Kiss FFT is a very small, reasonably efficient, mixed radix FFT library that can use either fixed or floating point data types. ",6/20/13,15,526,Audio and Video,1210,29040,6/20/13,5/18/03,4896
stills2dv,135,135,135,/projects/stills2dv/?source=directory,0,"Makes movies, HD movies or better with stills (zooming, panning and crossfading). Follows a simple workfile, it will create frames which can be encode thereafter by encodedv, ffmpeg or mencoder. No resolution limit, provides anti-aliasing and motion-blur",4/24/13,0,2967,Audio and Video,1267,30408,4/24/13,1/24/04,4645
WebcamStudio For GNU/Linux,136,136,136,/projects/webcamstudio/?source=directory,5,A multifeatured virtual webcam software to broadcast over the Internet,8/25/16,17,512,Audio and Video,48,1152,8/25/16,8/31/08,2964
Ultimate Video Converter,137,137,137,/projects/uvideoconverter/?source=directory,4.2,A easy to use open source video converter written in Visual Basic.NET. It provides a GUI to FFmpeg so is very reliable and stable. It has lots of presets for basic users but also has a lot of customization options for advanced users.,4/29/13,13,706,Audio and Video,1262,30288,4/29/13,3/6/10,2412
XaoS,138,138,138,/projects/xaos/?source=directory,5,Real-time interactive fractal zoomer,11/2/13,15,515,Audio and Video,1075,25800,11/2/13,5/16/00,5993
orDrumbox Software Drum Machine,139,139,139,/projects/ordrumbox/?source=directory,5,"Drum machine, sequencer, DAW, midi, designed  for creativity ",2 days ago,4,730,Audio and Video,2,47,10/10/16,10/15/03,4746
Bauer stereophonic-to-binaural DSP,140,140,140,/projects/bs2b/?source=directory,5,Headphones like a loudspeakers,9/25/13,11,529,Audio and Video,1113,26712,9/25/13,10/21/05,4009
FFmpegYAG,141,141,141,/projects/ffmpegyag/?source=directory,4.8,FFmpeg GUI for Linux & Windows,7/1/16,4,706,Audio and Video,103,2472,7/1/16,11/27/13,1050
savonet,142,142,142,/projects/savonet/?source=directory,5,Audio and video streams generator,5/24/16,6,611,Audio and Video,141,3384,5/24/16,9/9/03,4782
Impro-Visor,143,143,143,/projects/impro-visor/?source=directory,4.8,"Leadsheet notation with auto-generated playback, improvisation advice",8/3/16,33,481,Audio and Video,70,1680,8/3/16,7/27/09,2634
Rosegarden,144,144,144,/projects/rosegarden/?source=directory,4.7,The MIDI sequencer that features a rich understanding of music notation along with basic support for digital audio,10/2/16,35,522,Audio and Video,10,240,10/2/16,4/23/00,6016
OpenLP - Free Church Worship Software,145,145,145,/projects/openlp/?source=directory,4.7,Free church worship presentation software,7/2/16,70,495,Audio and Video,102,2448,7/2/16,2/13/04,4625
RuneAudio,146,146,146,/projects/runeaudio/?source=directory,0,Free and open source Hi-Fi music player for embedded hardware,5/19/16,0,2735,Audio and Video,146,3504,5/19/16,11/8/13,1069
MPlayer WW,147,147,147,/projects/mplayer-ww/?source=directory,4.8,MPlayer modified by william0wang,1/13/15,39,458,Audio and Video,638,15312,1/13/15,11/19/07,3250
ShanaEncoder,148,148,148,/projects/shanaencoder/?source=directory,0,ShanaEncoder is audio/video encoding program based on FFmpeg.,7/10/16,0,2681,Audio and Video,94,2256,7/10/16,5/25/13,1236
hcfr,149,149,149,/projects/hcfr/?source=directory,4.8,Free Video Projector/Monitor Calibration Software,7/14/16,6,581,Audio and Video,90,2160,7/14/16,2/9/12,1707
ccextractor,150,150,150,/projects/ccextractor/?source=directory,5,"A fast closed captions extractor for MPEG and H264 files. Supports DVD, HDTV transport streams, Replay TV. Use this to create .srt (subtitles) files for your TV captures, have transcripts so you can edit subtitles, etc.",8/16/16,12,490,Audio and Video,57,1368,8/16/16,3/7/07,3507
Vidiot,151,151,151,/projects/vidiot/?source=directory,3.8,"Vidiot is a non-linear video editor targeted for home video editing. It supports compositing (scaling/rotating/positioning), cropping, changing speed, adding transitions and titles, trimming, key frames, etc.",7/7/16,13,856,Audio and Video,97,2328,7/7/16,6/6/10,2320
OooPlayer,152,152,152,/projects/oooplayer/?source=directory,4.5,Lightweight music and radio player,9/25/16,2,915,Audio and Video,17,408,9/25/16,8/8/14,796
Project X - DVB demux Tool,153,153,153,/projects/project-x/?source=directory,4.9,European digital radio & television uses the DVB standard to broadcast its data. ,5/14/13,30,450,Audio and Video,1247,29928,5/14/13,7/21/04,4466
Radio Tray,154,154,154,/projects/radiotray/?source=directory,5,Radio Tray is a streaming player for listening to online radios. Any bug or feature request should be reported in https://bitbucket.org/carlmig/radio-tray/issues,5/1/13,29,420,Audio and Video,1260,30240,5/1/13,12/23/09,2485
Simple Video Converter,155,155,155,/projects/svideoconverter/?source=directory,4,"FRONTEND for mencoder for Windows and Linux. Convert rmvb,avi,mp4,wmv, ogv, mkv, mov, mpg, vob,ogv, ogg, ogm etc To avi (divx5), xvid, dvd iso, h264 in a simple way. Required java runtime 6 and over. (On Linux is required mencoder, dvdauthor and mkisofs)",5/2/13,22,589,Audio and Video,1259,30216,5/2/13,11/10/09,2528
Podcast Generator,156,156,156,/projects/podcastgen/?source=directory,5,Open Source Podcast Publishing Solution,4/12/16,49,399,Audio and Video,183,4392,4/12/16,3/28/06,3851
DVDx,157,157,157,/projects/dvdx/?source=directory,0,"DVDx 4.0 is a very easy to use audio/video encoder and a powerful DVD copier. Read DVDs and audio/video files, encode to popular video formats: (S)VCD/CVD/DVD, Xvid/Divx, MPEG-4, H.264/AVC, QuickTime, Flash Video, Ogg, WebM, AC.3, MP3, MP4/AAC etc.",9/7/16,0,2406,Audio and Video,35,840,9/7/16,1/22/03,5012
Virtual VCR,158,158,158,/projects/virtualvcr/?source=directory,5,Virtual VCR is a DirectShow video capture application that allows you to capture Audio and Video to your hard drive in the AVI file format.,2/27/13,7,496,Audio and Video,1323,31752,2/27/13,12/29/02,5036
Movica : The Movie Editor,159,159,159,/projects/movica/?source=directory,3.7,"A graphical editor for Windows Media (.wmv), MPEG files and FLV movies. Select or delete multiple portions from a video file. The system lets you copy, paste and fine tune the selections. Also supports joining and splitting of video/movie files.",4/24/13,12,815,Audio and Video,1267,30408,4/24/13,6/12/06,3775
"DGuitar: a Guitar Pro viewer, player",160,160,160,/projects/dguitar/?source=directory,4.4,"DGuitar is a Guitar Pro (*.GP4,*.GP3,GTP) viewer and player that works under Linux, MacOs, Solaris, BSD, Windows, or any other operating system with Java Runtime 1.4.X. http://DGuitar.sourceforge.net",8/28/15,9,564,Audio and Video,411,9864,8/28/15,5/25/04,4523
K3b - The CD Creator for KDE,161,161,161,/projects/k3b/?source=directory,4.4,K3b is a highly usable and very userfriendly cd writing program.,4/16/13,15,520,Audio and Video,1275,30600,4/16/13,4/26/01,5648
Bino | Free 3D Video Player,162,162,162,/projects/bino3d/?source=directory,5,"Bino is a free 3D video player, allowing to watch Full HD 3D videos.",11/19/13,5,526,Audio and Video,1058,25392,11/19/13,7/9/12,1556
Subtitle Adjuster,163,163,163,/projects/subadjuster/?source=directory,5,Adjusts the timing of subtitle files (handles *.srt and *.sub formats),6/28/15,3,648,Audio and Video,472,11328,6/28/15,3/21/12,1666
The Jahshaka Project,164,164,164,/projects/jahshaka/?source=directory,4.5,"Jahshaka is a platform independent, Realtime Editing and Visual Effects System. Jahshaka takes advantage of the power of OpenGL and the OpenLibraries to give its users exceptional levels of performance and real time interactivity.",12/26/13,43,434,Audio and Video,1021,24504,12/26/13,8/3/03,4819
recordMyDesktop,165,165,165,/projects/recordmydesktop/?source=directory,5,"recordMyDesktop is a program that captures audio-video data of a linux desktop session, producing an ogg-encapsulated theora-vorbis file. recordMyDesktop tries to be as unobstrusive as possible by proccessing only regions of the screen that have changed",6/3/13,10,417,Audio and Video,1227,29448,6/3/13,7/12/06,3745
VGMToolbox,166,166,166,/projects/vgmtoolbox/?source=directory,5,"VGMToolbox is a C# based tool to assist VGM collectors and dumpers. It includes tools to extract, optimize, and build VGM formats as well as auditing and exploration utilities. [GBS, KSS, MDX, NSF(E), SID, S98, SPC, VGM, XA, XMA, xSF (PSF/PSF2/etc)]",8/17/16,7,446,Audio and Video,56,1344,8/17/16,5/8/08,3079
MakeAVI,167,167,167,/projects/makeavi/?source=directory,4.3,MakeAVI is a simple Windows application to assemble a series of JPG (or other formats) images into an AVI file (video).  This functionality facilitates making time-lapse movies or stop-motion animations.,4/9/13,11,558,Audio and Video,1282,30768,4/9/13,6/10/02,5238
Dodger-Tools,168,168,168,/projects/dodger-tools/?source=directory,5,"Preinstalled virtual machines, scripts and Debian packages",3 days ago,1,1181,Audio and Video,3,71,10/9/16,2/16/07,3526
eGuideDog free software for the blind,169,169,169,/projects/e-guidedog/?source=directory,5,"eGuideDog project develops free software for the blind. Currently, we focus on WebSpeech, Ekho TTS and WebAnywhere.",16 hours ago,21,351,Audio and Video,0,16,10/12/16,12/12/06,3592
Symphonic,170,170,170,/projects/symphonic/?source=directory,4.7,A portable MP3/WMA/OGG/FLAC file manager for Sony players. Simply copy it on your usb player and use it wherever you are! It is an alternative to SonicStage. (Was NW-E00x Mp3 File Manager...) ,9/4/15,34,370,Audio and Video,404,9696,9/4/15,2/28/07,3514
getID3(),171,171,171,/projects/getid3/?source=directory,4.7,"getID3() is a PHP script that extracts useful information (such as ID3 tags, bitrate, playtime, etc.) from MP3s & other multimedia file formats (Ogg, WMA, WMV, ASF, WAV, AVI, AAC, VQF, FLAC, MusePack, Real, QuickTime, Monkey's Audio, MIDI and more).",3/2/16,23,397,Audio and Video,224,5376,3/2/16,6/16/02,5232
quran-terjemah,172,172,172,/projects/quranterjemah/?source=directory,5,"Quran-Terjemah, Quran dengan Terjemah dan Audio",1/2/16,4,509,Audio and Video,284,6816,1/2/16,10/12/12,1461
mpv player (Windows),173,173,173,/projects/mpv-player-windows/?source=directory,0,"a free, open source, and cross-platform media player",4 days ago,0,1992,Audio and Video,4,95,10/8/16,12/31/15,286
GNU Solfege,174,174,174,/projects/solfege/?source=directory,4.9,"GNU Solfege is *free* ear training software written in Python 3.4 using the Gtk+ 3 toolkit. The program is designed to be easily extended with lesson files (data files), so the user can create new exercises.",6/24/16,28,321,Audio and Video,110,2640,6/24/16,1/15/00,6115
FF Multi Converter,175,175,175,/projects/ffmulticonv/?source=directory,5,"FF Multi Converter is a simple graphical application which enables you to convert audio, video, image and document files between all popular formats, using and combining other programs. It uses ffmpeg for audio/video files, unoconv for document files and ImageMagick for image file conversions. ",6/30/16,3,548,Audio and Video,104,2496,6/30/16,12/14/12,1398
